ADARB2
AKAP5
ANGPTL6
ANPEP
AURKAPS1
B3GALT2
BAI1
C21orf15
C5orf42
CCDC39
CD79A
CDC42BPB
CH25H
CLEC7A
CRSP8P
CST3
CXCR7
DOCK3
EGOT
EML5
ENPP1
ESR2
ETV2
EYS
FAM196B
FERMT2
FLVCR1-AS1
GOLIM4
HIST1H1B
HIST1H1C
HIST1H1D
HIST1H1E
HIST1H2AB
HIST1H2AE
HIST1H2AG
HIST1H2AH
HIST1H2AI
HIST1H2AM
HIST1H2BB
HIST1H2BC
HIST1H2BF
HIST1H2BJ
HIST1H2BL
HIST1H2BM
HIST2H2AB
HIST2H2AC
HIST2H3D
HSP90AB3P
IGLL5
IGSF11
KCTD16
KIT
LILRA6
LOC100507462
LOC653566
LTC4S
LTK
MCTP1
MIR3128
MRC2
NACA2
NEB
NMU
NTSR1
PABPC3
PHLDA3
PID1
PTGDR2
PTPN13
RAB11FIP3
RPL19P12
S100A12
S100A9
SASH1
SCGB3A1
SLC15A1
SMAD1
SNORA66
SNORD104
SNORD2
SNORD21
SNORD78
SPI1
SPNS2
TCF7L1
TMOD1
TMOD2
TUB
USP32P1
UTS2
ZNF189
ZNF225
ZNF594
ZNF618
ZNF787
ZNF883
